month,farmerverse_offers,abandoned_land_offers,go4me_offers
2022-07,0,1,0
2022-08,0,1,0
2022-09,0,17,0
2022-10,0,7047,0
2022-11,0,6149,0
2022-12,0,3858,0
2023-01,0,4513,0
2023-02,0,3495,0
2023-03,0,6199,0
2023-04,0,4280,0
2023-05,0,435,0
2023-06,4684,1428,0
2023-07,4643,1155,0
2023-08,3641,952,0
2023-09,2637,1220,0
2023-10,4570,1350,0
2023-11,5872,1208,0
2023-12,2619,474,0
2024-01,2953,288,0
2024-02,3771,397,0
2024-03,4036,340,0
2024-04,3325,411,0
2024-05,4118,271,0
2024-06,3370,123,0
2024-07,1500,234,0
2024-08,1085,360,0
2024-09,858,227,0
2024-10,3050,405,0
2024-11,1025,257,0
2024-12,1804,169,0
2025-01,2355,66,0
2025-02,1419,61,0
2025-03,981,13,0
2025-04,1891,352,0
2025-05,2747,2,0
2025-06,1805,32,0
2025-07,1192,8,0
2025-08,937,10,4045
2025-09,1499,0,11390
2025-10,828,0,5130
2025-11,254,44,3653
2025-12,318,2,115
2026-01,63,0,21
2026-02,278,15,8
2026-03,193,25,4
2026-04,10,0,1
2026-05,0,0,4
