month,swaps,usd_volume,cum_usd_volume
2022-01,701,74277.0,74277.0
2022-02,534,81655.0,155932.0
2022-03,777,84210.0,240142.0
2022-04,847,63446.0,303588.0
2022-05,1127,94139.0,397727.0
2022-06,1543,111325.0,509052.0
2022-07,8538,732744.0,1241796.0
2022-08,7905,217044.0,1458840.0
2022-09,9376,148194.0,1607034.0
2022-10,15140,181470.0,1788504.0
2022-11,12504,250202.0,2038706.0
2022-12,11036,208848.0,2247554.0
2023-01,17786,394184.0,2641738.0
2023-02,13834,366579.0,3008317.0
2023-03,15066,258913.0,3267230.0
2023-04,9130,241872.0,3509102.0
2023-05,13033,316448.0,3825550.0
2023-06,24012,381062.0,4206612.0
2023-07,13422,187537.0,4394149.0
2023-08,16187,221724.0,4615873.0
2023-09,12822,164103.0,4779976.0
2023-10,19048,144196.0,4924172.0
2023-11,18868,202320.0,5126492.0
2023-12,10728,185076.0,5311568.0
2024-01,12469,197865.0,5509433.0
2024-02,15054,241797.0,5751230.0
2024-03,15370,431106.0,6182336.0
2024-04,14253,249115.0,6431451.0
2024-05,22517,587658.0,7019109.0
2024-06,13687,547942.0,7567051.0
2024-07,12383,280345.0,7847396.0
2024-08,7398,85159.0,7932555.0
2024-09,6447,75383.0,8007938.0
2024-10,9790,167931.0,8175869.0
2024-11,14628,720847.0,8896716.0
2024-12,13836,816390.0,9713106.0
2025-01,16845,554775.0,10267881.0
2025-02,14907,590415.0,10858296.0
2025-03,22506,612895.0,11471191.0
2025-04,13895,266196.0,11737387.0
2025-05,18051,714372.0,12451759.0
2025-06,29947,1192926.0,13644685.0
2025-07,27243,701694.0,14346379.0
2025-08,38252,565422.0,14911801.0
2025-09,29720,460286.0,15372087.0
2025-10,24794,426431.0,15798518.0
2025-11,23063,192772.0,15991290.0
2025-12,16850,93061.0,16084351.0
2026-01,24765,201148.0,16285499.0
2026-02,19051,117442.0,16402941.0
2026-03,26371,99055.0,16501996.0
2026-04,24198,150979.0,16652975.0
2026-05,22666,219291.0,16872266.0
