week,usd_per_xch
2024-05-20,31.3100
2024-05-27,31.2000
2024-06-03,30.6500
2024-06-10,27.2800
2024-06-17,23.6200
2024-06-24,23.6200
2024-07-01,21.3800
2024-07-08,19.6500
2024-07-15,20.7600
2024-07-22,19.3900
2024-07-29,18.1800
2024-08-05,15.1100
2024-08-12,14.7000
2024-08-19,15.7600
2024-08-26,14.0200
2024-09-02,13.2500
2024-09-09,13.2600
2024-09-16,14.2000
2024-09-23,15.1600
2024-09-30,14.3500
2024-10-07,16.0400
2024-10-14,15.2400
2024-10-21,13.9200
2024-10-28,13.3600
2024-11-04,14.1000
2024-11-11,15.0400
2024-11-18,15.9600
2024-11-25,24.4400
2024-12-02,32.5700
2024-12-09,26.4000
2024-12-16,23.1000
2024-12-23,22.0500
2024-12-30,23.5400
2025-01-06,22.6700
2025-01-13,21.6700
2025-01-20,19.0100
2025-01-27,17.2200
2025-02-03,12.6700
2025-02-10,12.9100
2025-02-17,13.5500
2025-02-24,15.9700
2025-03-03,15.6500
2025-03-10,12.8500
2025-03-17,12.4100
2025-03-24,12.2200
2025-03-31,11.0100
2025-04-07,10.8800
2025-04-14,10.7200
2025-04-21,11.5700
2025-04-28,11.4900
2025-05-05,12.4300
2025-05-12,12.8600
2025-05-19,12.5100
2025-05-26,12.4600
2025-06-02,11.0100
2025-06-09,10.8400
2025-06-16,10.0300
2025-06-23,9.9420
2025-06-30,9.5460
2025-07-07,10.1300
2025-07-14,11.2000
2025-07-21,10.3400
2025-07-28,9.2370
2025-08-04,9.8000
2025-08-11,9.7900
2025-08-18,9.5590
2025-08-25,9.7760
2025-09-01,9.5770
2025-09-08,10.1500
2025-09-15,9.8730
2025-09-22,8.7330
2025-09-29,8.6300
2025-10-06,8.7550
2025-10-13,7.3460
2025-10-20,6.8470
2025-10-27,6.7910
2025-11-03,6.4300
2025-11-10,7.9410
2025-11-17,6.7850
2025-11-24,6.0210
2025-12-01,5.5760
2025-12-08,5.4750
2025-12-15,4.8270
2025-12-22,4.8390
2025-12-29,4.7810
2026-01-05,5.1710
2026-01-12,5.0930
2026-01-19,4.3490
2026-01-26,3.9320
2026-02-02,3.3500
2026-02-09,2.9860
2026-02-16,2.7350
2026-02-23,2.6470
2026-03-02,2.6550
2026-03-09,2.6020
2026-03-16,2.7530
2026-03-23,2.7490
2026-03-30,2.4050
2026-04-06,2.3100
2026-04-13,2.2780
2026-04-20,2.4980
2026-04-27,2.2530
2026-05-04,2.1810
2026-05-11,2.5220
2026-05-18,2.9830
